first_name,company_name,address,city,county,Phone1,phone,website,email,Tags,Year Founded
Alreham Insurance Co,Alreham Insurance Co,BaghdadAlsaadoon StBasraIstqlal St,Baghdad,Iraq,7806855005,7709056430,,reham981@ymail.com,"
  Insurance Companies   ",2015
International Group Co,International Group Co,AlJazara St,Basra,Iraq,40-610711,40-619328,www.igc-iq.com,info@igc-iq.com,"
  Oil & Gas   ",2015
Jmg Co,Jmg Co,62 St,Baghdad,Iraq,7811249145,,www.jmglimited.com,h.tarraf@jmglimited.com,"
  Oil & Gas   ",2015
Jazeerat AlFayhaa Co,Jazeerat AlFayhaa Co, Ashar St,Basra,Iraq,7801007309,7712026329,,almosawiqusai@yahoo.com,"
  Oil & Gas   ",2015
Kalegran Ltd,Kalegran Ltd,Italian CityNear 100th m St,Erbil,Iraq,7504624181,,www.molgroup.com,inassa@kalegran.mol.hu,"
  Oil & Gas   ",2015
Kar Group ,Kar Group ,Iraq,Baghdad,Iraq,7507827985,,www.kargroup.net, rasanh@erbilrefiner.com,"
  Oil & Gas   ",2015
Khosrow Bazrafshan  ,Khosrow Bazrafshan  ,Erbil,Erbil,Iraq,7507567362,,www.ukh.ac,khosrow007@hotmail.com,"
  Oil & Gas   ",2015
Kufan Group,Kufan Group,Baghdad,Baghdad,Iraq,7901908064,,www.kufan-group.com,maythem@kufan-group.com,"
  Oil & Gas   ",2015
Maf Metal Co,Maf Metal Co,Zakho Duhok,Zakho,Iraq,7504310885,7504457899,www.mafsteel.com,info@mafsteel.com ,"
  Oil & Gas   ",2015
Mahtab Company,Mahtab Company,40th m StNear Zraa Intersection,Erbil,Iraq,7504450421,7504470421,, mahtab_co@yahoo.com,"
  Oil & Gas   ",2015
Maham Company,Maham Company, AlArasat,Baghdad,Iraq,7903354455,,www.mahamco.com,n.alnajar@mahamco.com,"
  Oil & Gas   ",2015
Maraba AlIraq AlKhadraa Co,Maraba AlIraq AlKhadraa Co,Al Muhandseen ,Basra,Iraq,7811111141,7711111099,www.marabaiq.com, maraba.iraq@gmail.com,"
  Oil & Gas   ",2015
Midland Refineries Co,Midland Refineries Co,Baghdad,Baghdad,Iraq,7901910262,,,duroref@yahoo.com,"
  Oil & Gas   ",2015
Maya Projects,Maya Projects,Iraq,Baghdad,Iraq,7803707629,,www.mayaprojectc.biz, d.adib@mayaprojects.biz,"
  Oil & Gas   ",2015
Mosul gas turbine power station,Mosul gas turbine power station,Baghdad,Baghdad,Iraq,7701607810,,,eng.ibraheim@yahoo.uk.com,"
  Oil & Gas   ",2015
MB AlGhalib,MB AlGhalib,Iraq,Baghdad,Iraq,7814673019,,,Hassan@alghalib.com,"
  Oil & Gas   ",2015
MDC Nor AlWahage for oil services LLC,MDC Nor AlWahage for oil services LLC,BasraSayidAmeen St   BaghdadKarada,Baghdad,Iraq,7712666092,7809101121,,rbischofs@mdc-holding.com,"
  Oil & Gas   ",2015
Mol Co,Mol Co,Ankawa St,Erbil,Iraq,7504624181,,www.molgroup.hu,inass.a@mol.hu,"
  Oil & Gas   ",2015
Mott  MacDonald,Mott  MacDonald,Energy city,Basra,Iraq,7707041208,,www..mottmac.com,fuad.hatim@mottmac.com,"
  Oil & Gas   ",2015
Murphy ,Murphy ,Enghlish Village Villa No 63Gulan St,Erbil,Iraq,7503722682,7707609903,,dean_molaro @murphyoilcorp.com,"
  Oil & Gas   ",2015
Naseem Baghdad Co,Naseem Baghdad Co, AlMansourHay Drahg,Baghdad,Iraq,7901297962,,www.naseem-baghdad.com,lab@naseem-baghdad.com,"
  Oil & Gas   ",2015
North  Gaz Co,North  Gaz Co,Karkuk,Kirkuk,Iraq,7701306770,,, ngc_kirkuk@yahoo.com,"
  Oil & Gas   ",2015
North Oil NOC,North Oil NOC,Karkuk,Kirkuk,Iraq,50212752,info@noc.gov.iq,,info@noc.gov.iq,"
  Oil & Gas   ",2015
North Refinery Co  NRC,North Refinery Co  NRC,Baghdad,Baghdad,Iraq,7702397400,,,nrcbaiji@oil.gov.iq,"
  Oil & Gas   ",2015
Noor AlHilal Oil Co,Noor AlHilal Oil Co,AlGzaar St,Basra,Iraq,7809262114,,www.nooralhilal.com,Riyadh.salman @nooralhilal.com,"
  Oil & Gas   ",2015
Nps,Nps,office Italian Village 6,Erbil,Iraq,7504366204,,www.npsintl.com,aali@npsintl.com,"
  Oil & Gas   ",2015
Odfjell Well Services Ltd,Odfjell Well Services Ltd,Bihar St,Erbil,Iraq,7501648387,,www.ows.no,,"
  Oil & Gas   ",2015
OFS  Oil Co,OFS  Oil Co,Italian Village No50c,Erbil,Iraq,7805892492,,www.ofsme.com,ahmed.abdalah@ofsme.com,"
  Oil & Gas   ",2015
Asia Co,Asia Co,Salim St ,Sulaymaniyah,Iraq,7715614208,53-3301811,,thaddadin@asiainsurance.net ,"
  Insurance Companies   ",2015
Assurex Insurance  Reinsurance,Assurex Insurance  Reinsurance,Enghlish Village Villa No 4,Erbil,Iraq,7507909729,7708354473,www.assurex.com.lb,g.akl@assurex.com.lb,"
  Insurance Companies   ",2015
Cihan Insurance Company,Cihan Insurance Company,Cihan plazaKirkuk main road,Erbil,Iraq,7504861506,7503240444,,aymannakali@yahoo.com,"
  Insurance Companies   ",2015
Dar Iraq Co,Dar Iraq Co,Sadoon St,Baghdad,Iraq,7901335143,7711110611,,dariraq_insurance@yahoo.com,"
  Insurance Companies   ",2015
Ernst  Young ,Ernst  Young ,English village no 284,Erbil,Iraq,7700454444,66-2575777,www.ey.com/me,abdulkarim.maraqa@iq.ey.com,"
  Insurance Companies   ",2015
Economy Insurance Co,Economy Insurance Co,Baghdad,Baghdad,Iraq,7906843272,7809247912,www.economy-insurance.com,,"
  Insurance Companies   ",2015
Iraq Insurance Co,Iraq Insurance Co,Karada Kharije,Baghdad,Iraq,1- 7192184-1-7192185,info@iq-insurance.com,,info@iq-insurance.com,"
  Insurance Companies   ",2015
Kar Insurance Co,Kar Insurance Co,Kurdistan Region,Erbil,Iraq,7704857741,7705008861,www.kar-insurance.com,bakhithaddad@kar-insurance.com,"
  Insurance Companies   ",2015
Mouta Co,Mouta Co,AlWatiiq Sq,Baghdad,Iraq,7901919236,7901919237,,mouta_bank@yahoo.com,"
  Insurance Companies   ",2015
Star Insurance Co,Star Insurance Co,Gulan St,Erbil,Iraq,7504617977,66-2566522,www.sic-iq.com, nawzadamjad@yahoo.com,"
  Insurance Companies   ",2015
Shatt  Alarab Insurance Co,Shatt  Alarab Insurance Co,Karada DakheelBasrah,Baghdad,Iraq,7704446594,7702986116,www.altaif.co,insurance@shattalarabins.com,"
  Insurance Companies   ",2015
The Ministry of Finance National Insurance Co,The Ministry of Finance National Insurance Co,iraq,Baghdad,Iraq,7706886550,7901516956,,ahmedmonther2006@yahoo.com,"
  Insurance Companies   ",2015
Trade Bank Of Iraq,Trade Bank Of Iraq,Yarmouk District,Baghdad,Iraq,1-543356,ceo_office@tbiraq.com,www.tbiraq.com,ceo_office@tbiraq.com,"
  Insurance Companies   ",2015
Oil Field InstrumentationIndiaPvtLtd,Oil Field InstrumentationIndiaPvtLtd,100 m StItalian Village No 355,Erbil,Iraq,7503353861,,www.ofiindia.com,erbilbase@ofiindia.com,"
  Oil & Gas   ",2015
Oil ServOilfield services co ,Oil ServOilfield services co ,Baghdad 14 Ramadan St Basra north RumailaErbilold Kirkuk road,Baghdad,Iraq,7503206944,7508173897,,sulaiman@oilserv.biz,"
  Oil & Gas   ",2015
Oils Lubex,Oils Lubex,Basrah,Basra,Iraq,7712477778,,,najmlubex@gmail.com,"
  Oil & Gas   ",2015
Oil Exploration Co OEC,Oil Exploration Co OEC,Baghdad,Baghdad,Iraq,7902763918,,,oec@iraqioec.com,"
  Oil & Gas   ",2015
Oil Marketing Co SOMO,Oil Marketing Co SOMO,Baghdad,Baghdad,Iraq,17742040, newsomo@yahoo.com,, newsomo@yahoo.com,"
  Oil & Gas   ",2015
Trust House,Trust House,English Village No244,Erbil,Iraq,7504361676,7710119058,www.trustiraq.com,shamal.shawket@trustiraq.com,"
  Insurance Companies   ",2015
Oil Production Distribution Co SADOP,Oil Production Distribution Co SADOP,Baghdad,Baghdad,Iraq,7902763918,,,cdpo2004@yahoo.com,"
  Oil & Gas   ",2015
UR International Insurance Company,UR International Insurance Company,Shoresh St,Erbil,Iraq,7504520276,7701318841,www.uriic.net,s.jalal@uriic.net,"
  Insurance Companies   ",2015
UTA ,UTA ,Italian Village no 627,Erbil,Iraq,7506169100,662642000,www.uta-erbil.com,apraham.farajian@uta-erbil.com ,"
  Insurance Companies   ",2015
Ortmrann Gmbh,Ortmrann Gmbh,AlMansour14 Ramadhan St,Baghdad,Iraq,7902786204,7903516272,, hermann_lab@yahoo.com,"
  Oil & Gas   ",2015
Oil Projects Co,Oil Projects Co,Baghdad,Baghdad,Iraq,18177000,,,scop_iraq@yahoo.com,"
  Oil & Gas   ",2015
Oil Tank Co,Oil Tank Co,Baghdad,Baghdad,Iraq,44314907,iotc_basrah@yahoo.com,,iotc_basrah@yahoo.com,"
  Oil & Gas   ",2015
Opet Co,Opet Co,Italian Village No39,Erbil,Iraq,7503821122,7503821222,,aynoori72@yahoo.com,"
  Oil & Gas   ",2015
Ogpl Co,Ogpl Co,Italian Village No30,Erbil,Iraq,,dilshad.ali@ogplogistics.com,www.ogplogistics.com,dilshad.ali@ogplogistics.com,"
  Oil & Gas   ",2015
Pars Kayhan,Pars Kayhan,Karadah,Baghdad,Iraq,7817929164,,www.parskayhan.com.iq,info@parskayhan.com.iq,"
  Oil & Gas   ",2015
Perenco Middle East Limited,Perenco Middle East Limited,English Village Villa No 299,Erbil,Iraq,7704551623,7504451623,,shelan@hotmail.com,"
  Oil & Gas   ",2015
Petrol Ofisi Petroleum products Co,Petrol Ofisi Petroleum products Co,Ibrahim Halil St,Zakho,Iraq,7704188847,7504576206,,aann_aann75@hotmail.com,"
  Oil & Gas   ",2015
Pet  Oil Co,Pet  Oil Co,Gulan St,Erbil,Iraq,66-2561445,dshabella@petoil.com.tr,,dshabella@petoil.com.tr,"
  Oil & Gas   ",2015
Petro China International Iraq FZE,Petro China International Iraq FZE,Iraq,Baghdad,Iraq,7800516088,,,caojun@cnpcint.com,"
  Oil & Gas   ",2015
Pipe Line Co,Pipe Line Co,Baghdad,Baghdad,Iraq,7901964340,,,pipelinecompany@yahoo.com,"
  Oil & Gas   ",2015
Petro Quest ,Petro Quest ,Italian City No 261,Baghdad,Iraq,7501472669,,www.petroquestpetrol.com,,"
  Oil & Gas   ",2015
Pewand Co,Pewand Co,Sailm StRand Bul,Sulaymaniyah,Iraq,7701554022,7501552222,www.pewandco.com, blndbag@pewandco.com,"
  Oil & Gas   ",2015
Plain Co,Plain Co,Opp Babeil Collage,Erbil,Iraq,7504658500,,,edrishatami@yahoo.com,"
  Oil & Gas   ",2015
Qala Group ,Qala Group ,100th m St,Erbil,Iraq,7504466435,,,hoseen701@yahoo.com,"
  Oil & Gas   ",2015
Qamar Al Sanaeh,Qamar Al Sanaeh,Beirut Sq,Baghdad,Iraq,7713153374,,www.qas-co.com,com@qas-co.com,"
  Oil & Gas   ",2015
Qualitas,Qualitas,English Village Villa No 57,Erbil,Iraq,7506480817,,,larissa@qualitas.ab.ca,"
  Oil & Gas   ",2015
Rafidain Land For Oil Services,Rafidain Land For Oil Services,BasraJazaer 14th July St  SulamanyahChwrbax St,Basra,Iraq,7801017208,7712524448,www.rafidaine.com,adminsouth@rafidaine.com,"
  Oil & Gas   ",2015
Restrata,Restrata,Baghdad,Baghdad,Iraq,7901928320,,www.restrata.com,pturner@restrata.com,"
  Oil & Gas   ",2015
Raban Alsafina Group,Raban Alsafina Group,Baghdad,Baghdad,Iraq,7901906277,,,rsdubai@rabansafina.com,"
  Oil & Gas   ",2015
Rotary,Rotary,English Village Villa No 314,Erbil,Iraq,7503373721,,www.rotarydrilling.hu,erbilbranch@rotarydrilling.hu,"
  Oil & Gas   ",2015
Ruhrpumoen,Ruhrpumoen,Hay Al Kindi,Baghdad,Iraq,7702959293,7901422583,www.ruhrpumpen.de, service.iraq@ruhrpumpen.de,"
  Oil & Gas   ",2015
Rebwar Oil Co,Rebwar Oil Co,Shoresh St,Erbil,Iraq,7504924588,7504620745,,rebwaroil@hotmail.com,"
  Oil & Gas   ",2015
Rubo Arth AlIraq Co,Rubo Arth AlIraq Co,BasraHay AlJazazr St  BaghdadKarada,Basra,Iraq,7817777700,7801952245,,vice.chr@gmail.com,"
  Oil & Gas   ",2015
Saba Marine Services Co Ltd ,Saba Marine Services Co Ltd , Baghdad Basra,Baghdad,Iraq,7801098004,1-5433420,,shakir@sabaint.net,"
  Oil & Gas   ",2015
Sabah Chemical Engineer,Sabah Chemical Engineer,Baghdad,Baghdad,Iraq,7901358407,,,sabahchemical@gmail.com,"
  Oil & Gas   ",2015
Safin Ahmed Co,Safin Ahmed Co, Ibrahim AlKalel road,Zakho,Iraq,7701440502,7504509137,,ahmedsafin@yahoo.com,"
  Oil & Gas   ",2015
Saff Rosemond Co,Saff Rosemond Co,Zakaria City,Erbil,Iraq,7503400437,7705536010,www.rosemond-erbil.com, f.hosseini@rosemond-erbil.com,"
  Oil & Gas   ",2015
Sahara middle east  Oil Gaz,Sahara middle east  Oil Gaz,AlMansour,Baghdad,Iraq,7807314025,,www.saharamea.com,hazim@saharamea.com,"
  Oil & Gas   ",2015
Sakson Egypt,Sakson Egypt,Sulaymanya,Sulaymaniyah,Iraq,7710132109,,www.saksonegypt.com,iyad@saksonegypt.com,"
  Oil & Gas   ",2015
Saraji Group Co,Saraji Group Co,Basra,Basra,Iraq,7800009588,,,,"
  Oil & Gas   ",2015
Scania  Iraq,Scania  Iraq,Southern Industrial Area,Erbil,Iraq,7901905201,,www.en.scania-iraq.com,saib.jassim@scania.com,"
  Oil & Gas   ",2015
Schlumberger Middle East ,Schlumberger Middle East ,Basra North Rumailah  ErbilEnglish Village No304,Basra,Iraq,7807968359,7508529836,,nahmed@slb.com,"
  Oil & Gas   ",2015
Semyan Co ,Semyan Co ,Commercial complex ,Zakho,Iraq,7504641011,7704701112,,,"
  Oil & Gas   ",2015
Shamaran,Shamaran,English Village Villa No 72,Erbil,Iraq,7710171715,66-2578989,www.shamaranpetroleum.com,nawzad.ibrahim@shamaranpetroleum.com,"
  Oil & Gas   ",2015
South Gaz Co SQC,South Gaz Co SQC,Basra,Basra,Iraq,7803004536,7801410554,www.sgciraq.com,south_gasco@yahoo.com,"
  Oil & Gas   ",2015
South instruments Corp,South instruments Corp,Alkhulafaa St,Baghdad,Iraq,7901386183,7702737305,,south.inst@gmail.com,"
  Oil & Gas   ",2015
South oil Co,South oil Co,BasraBaghdad,Basra,Iraq,7801014916,7801432798,www.soc_basra.com,hassebalali@yahoo.com,"
  Oil & Gas   ",2015
Southrox,Southrox,Sayed Amin St,Basra,Iraq,7400400005,,www.southroxiraq.com,,"
  Oil & Gas   ",2015
South Refinery Co SRC,South Refinery Co SRC,Basrah,Basra,Iraq,7801088670,,,src_basrah@yahoo.com,"
  Oil & Gas   ",2015
Seraj General Distributors Co,Seraj General Distributors Co,Baghdad,Baghdad,Iraq,7901822808,7704346569,www.sgedco.com,mustafa@sgedco.com,"
  Oil & Gas   ",2015
SSE SirioSistemiElettronici,SSE SirioSistemiElettronici,Hay AlwihdaSalman Faiq St,Baghdad,Iraq,7713230299,7806557266,www.sse.cc, anwar.ali@sse.cc,"
  Oil & Gas   ",2015
Sakson Egypt Petroleum Services Free Zone Co,Sakson Egypt Petroleum Services Free Zone Co,ErbilItalian City No133SulaymanyahBaharan No10,Erbil,Iraq,7710232538,7480157716,www.saksonegypt.com,almosheerhakim@yahoo.com,"
  Oil & Gas   ",2015
Scop Co,Scop Co,Bour Said St,Baghdad,Iraq,7905319802,,www.scop.gov.iq,scop@scop.gov.iq,"
  Oil & Gas   ",2015
State Co For Oil Projects,State Co For Oil Projects,Baghdad,Baghdad,Iraq,7905319802,,www.scop.gov.iq,South.oper@scop.gov.iq,"
  Oil & Gas   ",2015
Strategic Alliance Associates,Strategic Alliance Associates,Baghdad,Baghdad,Iraq,7806801633,, www.saairaq.com, akasey@saairaq.com,"
  Oil & Gas   ",2015
Stanhope Co,Stanhope Co,BaghdadAlmansoor St,Baghdad,Iraq,7901297962,,www.naseem-baghdad.com,lab@naseem-baghdad.com,"
  Oil & Gas   ",2015
Solar Integrated Systems Co,Solar Integrated Systems Co,Baghdad,Baghdad,Iraq,7902547183,,,labib@solaropia.com,"
  Oil & Gas   ",2015
Taaz Group,Taaz Group,Basra,Basra,Iraq,7814377130,,www.taaz-group.com,Julian@taaz-group.com,"
  Oil & Gas   ",2015
Tareq Oil Services Co,Tareq Oil Services Co,Baghdad KaradaBasra   AlAshar,Baghdad,Iraq,7800700300,,www.tosco.iq,info@tosco.iq,"
  Oil & Gas   ",2015
Tek Imas,Tek Imas,Ankawa,Erbil,Iraq,7504537351,7702151322,www.tekimas.com.tr,uzeyiragali@hotmail.com,"
  Oil & Gas   ",2015
Tenaris,Tenaris,Baghdad ,Baghdad,Iraq,7814782177,,www.tenaris.com,mabdulkarim@tenaris.com,"
  Oil & Gas   ",2015
Thefaf Alrafidain,Thefaf Alrafidain,Baghdadalmansour,Baghdad,Iraq,7901793548,,www.thefaf-al-rafidain.com,,"
  Oil & Gas   ",2015
Tiyan Co,Tiyan Co,trade complex no 95,Zakho,Iraq,7709118265,7504788353,,tiyanco@yahoo.com,"
  Oil & Gas   ",2015
Techniques International Co,Techniques International Co,Baghdad,Baghdad,Iraq,7714445479,,www.techniquesusa.com,tholand@techniquesusa.com,"
  Oil & Gas   ",2015
Technical Resources Oil Co,Technical Resources Oil Co,Baghdad,Baghdad,Iraq,7822225960,7712030022,,ali.aledani@tr-iraq.com,"
  Oil & Gas   ",2015
UITECO United Iraqi Trading Equipment Co,UITECO United Iraqi Trading Equipment Co,Hay Alwahda,Baghdad,Iraq,7702543585,7801724559,www.uiteco.com, firas.alshouk@gmail.com,"
  Oil & Gas   ",2015
Unaoil Group,Unaoil Group,Basra,Basra,Iraq,7807616238,7709078898,www.unaoil.com,unaoil_infobasrah@yahoo.com,"
  Oil & Gas   ",2015
United Safety International Co,United Safety International Co,English Village No68,Erbil,Iraq,7706946331,7501989021,www.unitedsafety.net,kanabia@unitedsafety.net,"
  Oil & Gas   ",2015
UB Holding Co,UB Holding Co,Bakhtari St,Erbil,Iraq,7506725374,66-2531556,www.ubholding.com,salim@ubholding.com,"
  Oil & Gas   ",2015
Well Logistics Limited,Well Logistics Limited,Iraq,Baghdad,Iraq,7504363712,,www.well.uk.com,sirwan@well.uk.com,"
  Oil & Gas   ",2015
WeatherfordOil Tool MEltd,WeatherfordOil Tool MEltd,BaghdadBasra,Baghdad,Iraq,7507541121,7506922083,www.weatherford.com,ghanim.aliwi@me.weatherford.com,"
  Oil & Gas   ",2015
Weir Co,Weir Co,Baghdad,Baghdad,Iraq,7817505302,,www.weiroilandgas.com,7817505302,"
  Oil & Gas   ",2015
WE Co,WE Co,Italian Village No39,Erbil,Iraq,7503268000,7503599000,,weco2011@gmail.com,"
  Oil & Gas   ",2015
Yousf Shnkaly ,Yousf Shnkaly ,commercial complex,Zakho,Iraq,7504508651,62-7340493,,,"
  Oil & Gas   ",2015
Zana bureau ,Zana bureau ,commercial complex,Zakho,Iraq,7703825331,7504016563,,,"
  Oil & Gas   ",2015
Agricultural Directorate in Babylon,Agricultural Directorate in Babylon,Babylon,Al Hillah,Iraq,7813027400,,,agric_babil@hotmail.com,"
  Ministries   ",2015
Agricultural Directorate in Salah Al Din governorate,Agricultural Directorate in Salah Al Din governorate, Salah Al Din,Tikrit,Iraq,7701717056,,,salahaldin_agri@yahoo.com,"
  Ministries   ",2015
Baghdad Governorate,Baghdad Governorate,Baghdad,Baghdad,Iraq,7901320984,1-5377676,,governor@baghdad.gov.iq,"
  Ministries   ",2015
Baghdad Provincial Council ,Baghdad Provincial Council ,Baghdad,Baghdad,Iraq,,admin@baghdadcouncil.com,www.baghdadcouncil.com,admin@baghdadcouncil.com,"
  Ministries   ",2015
Basra Governorate,Basra Governorate,Basra ,Basra,Iraq,7801391665,7703217662,,haider.jha@gmail.com,"
  Ministries   ",2015
Council Of Ministers,Council Of Ministers,Baghdad,Baghdad,Iraq,,admin@cabinet.iq,,admin@cabinet.iq,"
  Ministries   ",2015
cultivation of baghdad,cultivation of baghdad,Baghdad,Baghdad,Iraq,7902157881,,,dagt_net@yahoo.com,"
  Ministries   ",2015
Directorate of Agriculture in the province of Maysan,Directorate of Agriculture in the province of Maysan,Maysan,Amarah,Iraq,7802823523,,,missan_agri@yahoo.com,"
  Ministries   ",2015
Directorate of Agriculture in Wasit province,Directorate of Agriculture in Wasit province,Wasit,Kut,Iraq,7801079234,,,wasit_agri2006@yahoo.com,"
  Ministries   ",2015
Directorate of agriculture in Muthanna Governorate,Directorate of agriculture in Muthanna Governorate,Muthanna,Samawah,Iraq,7803195697,,,samawah_agri@yahoo.com,"
  Ministries   ",2015
Directorate of Agriculture in Diyala province,Directorate of Agriculture in Diyala province,Diyala,Baqubah,Iraq,7906709610,,,diyala_agri@yahoo.com,"
  Ministries   ",2015
Directorate of Agriculture in the province of Karbala,Directorate of Agriculture in the province of Karbala,Karbala,Iskandariya,Iraq,,zerha_kerbala@yahoo.com,,zerha_kerbala@yahoo.com,"
  Ministries   ",2015
Directorate of agriculture in the governorate of Basra,Directorate of agriculture in the governorate of Basra,Basra,Basra,Iraq,,basrah_agri@yahoo.com,,basrah_agri@yahoo.com,"
  Ministries   ",2015
Directorate of agriculture in the AlAnbar province,Directorate of agriculture in the AlAnbar province, AlAnbar,Tikrit,Iraq,7903663322,,,al_anbar_agriculture@yahoo.com,"
  Ministries   ",2015
Directorate of Agriculture in the province of Nineveh,Directorate of Agriculture in the province of Nineveh,Mousl,Mosul,Iraq,,agrimosul@yahoo.com,,agrimosul@yahoo.com,"
  Ministries   ",2015
Directorate of Agriculture in Kirkuk,Directorate of Agriculture in Kirkuk,Karkuk,Kirkuk,Iraq,7701545666,,,mahdikkk@yahoo.com,"
  Ministries   ",2015
General Authority for plant protection,General Authority for plant protection,Baghdad,Baghdad,Iraq,,crop-prot@moagr.org,,crop-prot@moagr.org,"
  Ministries   ",2015
General Authority for agricultural land,General Authority for agricultural land,Baghdad,Baghdad,Iraq,1-8853447,ag_lands@yahoo.com,,ag_lands@yahoo.com,"
  Ministries   ",2015
General Authority for guidance and agricultural cooperation,General Authority for guidance and agricultural cooperation,Baghdad,Baghdad,Iraq,1-5112442,irshaed@iraq-irshad.net,,irshaed@iraq-irshad.net,"
  Ministries   ",2015
Iraqi National Olympic Committee ,Iraqi National Olympic Committee ,Iraq ,Baghdad,Iraq,7905750242,1-7763807,www.iraqiolympic.org,info@iraqiolympic.com,"
  Ministries   ",2015
Iraqi Presidency,Iraqi Presidency,Baghdad,Baghdad,Iraq,,questions@iraqipresidency.net,,questions@iraqipresidency.net,"
  Ministries   ",2015
Investment Authority Missan,Investment Authority Missan,Babylon,Al Hillah,Iraq,,invmaysan2008@yahoo.com,,invmaysan2008@yahoo.com,"
  Ministries   ",2015
Kirkuk Governorate,Kirkuk Governorate,Karkuk,Kirkuk,Iraq,7504439857,7701302555,,kikuk.media@yahoo.com,"
  Ministries   ",2015
Ministry of Agriculture,Ministry of Agriculture,Baghdad,Baghdad,Iraq,7707327865,7901424471,www.zeraa.gov.iq,minis_of_agr@moagr.org,"
  Ministries   ",2015
Mayoralty Of Baghdad,Mayoralty Of Baghdad, ,Baghdad,Iraq,7902130390,7711027929,www.amanatbaghdad.gov.iq,mayor_office@mayoralty-baghdad.com,"
  Oil & Gas   ",2015
Ministry of Communications ,Ministry of Communications , Baghdad,Baghdad,Iraq,7714734182,7901199023,www.iraqimoc.net,muftitorhan@moc.gov.iq,"
  Ministries   ",2015
Ministry of Construction  Housing,Ministry of Construction  Housing,Museum Sq ,Baghdad,Iraq,,moch@moch.gov.iq,www.imariskan.gov.iq,moch@moch.gov.iq,"
  Ministries   ",2015
Ministry of Defense ,Ministry of Defense ,Baghdad,Baghdad,Iraq,,mod_webmaster@yahoo.com,www.mod.mil.iq,mod_webmaster@yahoo.com,"
  Ministries   ",2015
Ministry of Electricity,Ministry of Electricity,Baghdad,Baghdad,Iraq,7901922476,7700416633,www.moelc.gov.iq,amerrajab75@yahoo.com,"
  Ministries   ",2015
Ministry Of Foreign Affairs,Ministry Of Foreign Affairs,Baghdad,Baghdad,Iraq,,press@iraqmofa.net,,press@iraqmofa.net,"
  Ministries   ",2015
Ministry of Environment ,Ministry of Environment ,Baghdad,Baghdad,Iraq,,enviro_center@yahoo.com,www.moen.gov.iq,enviro_center@yahoo.com,"
  Ministries   ",2015
Ministry of Finance ,Ministry of Finance ,Baghdad,Baghdad,Iraq,7774449775,,www.mof.gov.iq,edg@mof.gov.iq-web,"
  Ministries   ",2015
Ministry of Health ,Ministry of Health ,Baghdad,Baghdad,Iraq,7801872588,7702428166,,dr.majeedjamil@moh.gov.iq,"
  Ministries   ",2015
Ministry of Higher Education  Scientific Research ,Ministry of Higher Education  Scientific Research ,Baghdad,Baghdad,Iraq,1-7170957,1-7171326,www.mohesr.gov.iq,info@mohesr.gov.iq,"
  Ministries   ",2015
Ministry of Industry  minerals,Ministry of Industry  minerals,BaghdadAlnithal StErbil,Baghdad,Iraq,7901528584,7506435313,www.industry.gov.iq,dgoffice@gsc-iraq.com,"
  Ministries    Oil & Gas   ",2015
Ministry of Interior,Ministry of Interior,Baghdad ,Baghdad,Iraq,,media@moi.gov.iq,www.moi.gov.iq,media@moi.gov.iq,"
  Ministries   ",2015
Ministry Of human Rights,Ministry Of human Rights,Baghdad,Baghdad,Iraq,5382001,,,,"
  Ministries   ",2015
Ministry of Labour  Social Affairs,Ministry of Labour  Social Affairs,Baghdad,Baghdad,Iraq,7903430410,1-4253062,www.molsa.gov.iq,ssnhotlin1@molsa.gov.iq,"
  Ministries   ",2015
Ministry of Culture ,Ministry of Culture ,Baghdad,Baghdad,Iraq,1-5375702,dar-mamoon@yahoo.com,,dar-mamoon@yahoo.com,"
  Ministries   ",2015
Ministry of Municipalities,Ministry of Municipalities,Baghdad,Baghdad,Iraq,7902867244,7708074444,www.mmpw.gov.iq,office_minister@mmpw.gov.iq,"
  Ministries   ",2015
Ministry of Oil,Ministry of Oil,Baghdad,Baghdad,Iraq,7701714353,7901103701,www.oil.gov.iq,faezkarim@yahoo.com,"
  Ministries   ",2015
Ministry Of Justice,Ministry Of Justice,Baghdad,Baghdad,Iraq,,relation@iraqi-justice.org,,relation@iraqi-justice.org,"
  Ministries   ",2015
Ministry of Planning,Ministry of Planning,Baghdad,Baghdad,Iraq,7901926247,7903327036,www.mop.gov.iq,info@mop.gov.iq,"
  Ministries   ",2015
Ministry of Water Resources Department of the MOD,Ministry of Water Resources Department of the MOD,Baghdad,Baghdad,Iraq,,mo_falldrain_gd@yahoo.com,,mo_falldrain_gd@yahoo.com,"
  Ministries   ",2015
3K Technical,3K Technical,Erbil,Erbil,Iraq,7703500334,,www.3kiraq.com,info@3kiraq.com,"
  Air condition   ",2015
Ministry of Science  Technology ,Ministry of Science  Technology ,Baghdad,Baghdad,Iraq,7901494317,7901939982,www.most.gov.iq,inprb@most.gov.iq,"
  Ministries   ",2015
Ministry of Trade  ,Ministry of Trade  ,Baghdad,Baghdad,Iraq,7901343620,,www.mot.gov.iq,motcenter@mot.gov.iq,"
  Ministries   ",2015
Ministry of Transportation ,Ministry of Transportation ,Baghdad,Baghdad,Iraq,7705846987,1-7470650,www.motrans.gov.iq,media@motrans.gov.iq,"
  Ministries   ",2015
