Company Name,Category,Landmark,Building,Street,City,Country,Mobile,Mobile,Email,,,,,,,,,,,Company Name,Founded,Mobile,Phone,Website,Email,Views
Dubai Co Ltd,"
 | Contracting |  ",,,Baghdad,Baghdad,Iraq, 7901915597,7901355947,7707998030,, dubai@dubai-gc.com,,,,,,,,,Dubai Co Ltd,2015, 7901915597,,www.dubai-gc.com, dubai@dubai-gc.com,126,,,
Dhifaf Baghdad Co,"
 | Contracting |  ",,,Italian Village No294,Erbil,Iraq,7503360060,7703490010,,salah@dhifaf-baghdad.com,,,,,,,,,,Dhifaf Baghdad Co,2015,7503360060,,,salah@dhifaf-baghdad.com,132,,,
Dhil Rafidain Co,"
 | Contracting |  ",,,Basra,Basra,Iraq,7714325651,7812776225,,ysm25iraq@yahoo.com,,,,,,,,,,Dhil Rafidain Co,2015,7714325651,,,ysm25iraq@yahoo.com,130,,,
Efeoglu Group,"
 | Contracting |  ",,,Erbil,Erbil,Iraq,7504820895,,nevzatefeoglu@yahoo.com,,,,,,,,,,,Efeoglu Group,2015,7504820895,,,nevzatefeoglu@yahoo.com,129,,,
EFOR construction  solutions,"
 | Contracting |  ",,, Ankawa St,Erbil,Iraq,7503064902, 66-2649808, kanikbulent@gmail.com,,,,,,,,,,,EFOR construction  solutions,2015,7503064902, 66-2649808,www.eforinsaat.com, kanikbulent@gmail.com,173,,,
El Concorde Construction Ltd,"
 | Contracting |  ",,,Iraq,Erbil,Iraq,7702388097,7507555303,, almostakeem@yahoo.com,engineering.laboratory@elconcorde.com,,,,,,,,,El Concorde Construction Ltd,2015,7702388097,,, almostakeem@yahoo.com,180,,,
Elaf Company,"
 | Contracting |  ",,,Iraq,Baghdad,Iraq,7801000418,7801000695,, elaf_company@yahoo.com,info@elafgroupcompanies.com,,,,,,,,,Elaf Company,2015,7801000418,,www.elafgroupcompanies.com, elaf_company@yahoo.com,116,,,
Electra Net,"
 | Contracting |  ",,,Ankawa St,Erbil,Iraq,7508173898,,mike.fleming@electranetuk.com,,,,,,,,,,,Electra Net,2015,7508173898,,www.electranetuk.com,mike.fleming@electranetuk.com,129,,,
Eliogistics,"
 | Contracting |  ",,, Dolarawa St,Erbil,Iraq, 7901969000  ,7504399485 ,7705361453,, bsamir@eliogistics.com-kw ,rybassam@yahoo.com,,,,,,,,Eliogistics,2015, 7901969000  ,,, bsamir@eliogistics.com-kw ,136,,,
Elsar International Co,"
 | Contracting |  ",,,AnkawaMain Road ,Erbil,Iraq,7702501201,,cybereisar_2000@yahoo.com,,,,,,,,,,,Elsar International Co,2015,7702501201,,www.elsarinternatioalcompany.devhub.com,cybereisar_2000@yahoo.com,130,,,
Chrani Co ,"
 | General Trading |  ",,,Galee St ,Duhok,Iraq,7504678882,7504968222,62-7629688,62-7608222,,,,,,,,,,Chrani Co ,2015,7504678882,62-7629688,www.chranico.com,,110,,,
Chyai Sordash Co,"
 | General Trading |  ",,,100 m St,Erbil,Iraq,7504484328,7504478251,,,,,,,,,,,,Chyai Sordash Co,2015,7504484328,,www.chyaisurdash.com,,140,,,
Emaar of  New Golden Castle,"
 | Contracting |  ",,,Arasat Alhindiya ,Baghdad,Iraq,7711662277,7800001463,7400665522,emaar_iq@yahoo.com,,,,,,,,,,Emaar of  New Golden Castle,2015,7711662277,7400665522,,emaar_iq@yahoo.com,130,,,
Cihan General Trading Co,"
 | General Trading |  ",,,Zakho,Zakho,Iraq, 7504576074,7504495307,,wwwcihan_zakho@yahoo.com,,,,,,,,,,Cihan General Trading Co,2015, 7504576074,,,wwwcihan_zakho@yahoo.com,120,,,
Cipa General Trading Co,"
 | General Trading |  ",,,Zakho,Zakho,Iraq,7504504703,7705050119, 53-57992219,cipa_co@yahoo.com,,,,,,,,,,Cipa General Trading Co,2015,7504504703, 53-57992219,,cipa_co@yahoo.com,116,,,
City Light Company,"
 | General Trading |  ",,,Salim St,Sulaymaniyah,Iraq,7507190000,7503010301,, citylight_suly@yahoo.com,,,,,,,,,,City Light Company,2015,7507190000,,www.citylight.com, citylight_suly@yahoo.com,155,,,
Cool Center Co,"
 | General Trading |  ",,,Karada ,Baghdad,Iraq,7902353863,,hashimsurvival@yahoo.com,,,,,,,,,,,Cool Center Co,2015,7902353863,,,hashimsurvival@yahoo.com,114,,,
Emco Engineering Co,"
 | Contracting |  ",,,AlWahda,Baghdad,Iraq, 1-7185977, emcoiraq@emcogroup.com,,,,,,,,,,,,Emco Engineering Co,2015,, 1-7185977,www.emcogroup.com, emcoiraq@emcogroup.com,124,,,
Emek Co,"
 | Contracting |  ",,,Erbil,Erbil,Iraq,7706657337 ,7507342006,,Eng.ihsantech@yahoo.com,,,,,,,,,,Emek Co,2015,7706657337 ,,,Eng.ihsantech@yahoo.com,129,,,
Erbil Engineers Group,"
 | Contracting |  ",,,100thm St,Erbil,Iraq, 7504643118,7504562684,7504474398,, r.andazyaran@gmail.com,,,,,,,,,Erbil Engineers Group,2015, 7504643118,,, r.andazyaran@gmail.com,145,,,
Erbil Steel Company,"
 | Contracting |  ",,,Guwer Road,Erbil,Iraq, 7504351818,7504351919,7504513151, 66-2561818,66-2561919, info@erbilsteel.com,,,,,,,,Erbil Steel Company,2015, 7504351818, 66-2561818,www.erbilsteel.com, info@erbilsteel.com,161,,,
Crafft Co,"
 | General Trading |  ",,,Karada ,Baghdad,Iraq,7901728612,,craft.alobaidi@yahoo.com,samir_crafft@yahoo.com,,,,,,,,,,Crafft Co,2015,7901728612,,,craft.alobaidi@yahoo.com,115,,,
Dalal General Trading Co,"
 | General Trading |  ",,,Zakho,Zakho,Iraq,7709104242,7504590992,,gomia_m_a@hotmail.com,,,,,,,,,,Dalal General Trading Co,2015,7709104242,,,gomia_m_a@hotmail.com,138,,,
ErbilMedia City Co,"
 | Contracting |  ",,,Permam Road,Erbil,Iraq,7504444000,7502330011,,info@erbilmediacity.com,,,,,,,,,,ErbilMedia City Co,2015,7504444000,,www.erbilmediacity.com,info@erbilmediacity.com,124,,,
Dar Alabadey co,"
 | General Trading |  ",,,Said Sultan St,Baghdad,Iraq,7709700405,1- 8179753,8152848,,,,,,,,,,,Dar Alabadey co,2015,7709700405,1- 8179753,,,115,,,
Erkem Co,"
 | Contracting |  ",,,English Village No357,Erbil,Iraq,7506174361,,ugur.erdogan@erkeminsaat.com.tr,,,,,,,,,,,Erkem Co,2015,7506174361,,,ugur.erdogan@erkeminsaat.com.tr,129,,,
ErkanBena Company,"
 | Contracting |  ",,,100th m StNear Alshifa Private Hospital,Erbil,Iraq,7504052589,, erkanbena1@yahoo.com,,,,,,,,,,,ErkanBena Company,2015,7504052589,,www.erkan-bena.com, erkanbena1@yahoo.com,130,,,
Eskan,"
 | Contracting |  ",,,English Village No 268,Erbil,Iraq, 66-2533353, eskancoiraq@yahoo.com,,,,,,,,,,,,Eskan,2015,, 66-2533353,www.eskan-co.com, eskancoiraq@yahoo.com,131,,,
Etihad Diar Alkheer Co,"
 | Contracting |  ",,,Iraq,Baghdad,Iraq,7701706770,7481743775,,modhar@edk-iq.com,,,,,,,,,,Etihad Diar Alkheer Co,2015,7701706770,,www.edk-iq.com,modhar@edk-iq.com,113,,,
Etihad  Diyar AlKheer Co,"
 | Contracting |  ",,,Mosul,Mosul,Iraq,7701625510,,rabea@edk-iq.com,,,,,,,,,,,Etihad  Diyar AlKheer Co,2015,7701625510,,www.edk-iq.com,rabea@edk-iq.com,109,,,
Etihad AlSaqer Co,"
 | Contracting |  ",,,Arsat St,Baghdad,Iraq,7708336600,,alsaqarcom@gmail.com,,,,,,,,,,,Etihad AlSaqer Co,2015,7708336600,,www.alsaqarunited.com,alsaqarcom@gmail.com,110,,,
 future leaders Co,"
 | Contracting |  ",,,KaradaAlsharqiyaArkheta,Baghdad,Iraq, 7702880555,7902525088,, al_rwaad@yahoo.com,pfc.irq@gmail.com,,,,,,,,, future leaders Co,2015, 7702880555,,, al_rwaad@yahoo.com,596,,,
Felez Company,"
 | Contracting |  ",,,100thm St,Erbil,Iraq,7504456698,66-2562419, info@felezsteel.com,,,,,,,,,,,Felez Company,2015,7504456698,66-2562419,www.felezsteel.com, info@felezsteel.com,137,,,
Fakhir Alageyal,"
 | Contracting |  ",,,Baghdad,Baghdad,Iraq,7811221444,7706800430,,badra55@yahoo.com,,,,,,,,,,Fakhir Alageyal,2015,7811221444,,www.fast-cn.com-www.albathaq.com,badra55@yahoo.com,108,,,
Financial Links,"
 | Contracting |  ",,,Arasat Al Hindia,Baghdad,Iraq,7801954443,, ashraf.hamid@financiallinks-truevalue.com,,,,,,,,,,,Financial Links,2015,7801954443,,www.financiallinks-truevalue.com, ashraf.hamid@financiallinks-truevalue.com,112,,,
FinnWattar Construction Ltd,"
 | Contracting |  ",,,Iraq,Erbil,Iraq, 7901208002,7809835763,, finn.wattarco@gmail.com,,,,,,,,,,FinnWattar Construction Ltd,2015, 7901208002,,, finn.wattarco@gmail.com,169,,,
First National Company,"
 | Contracting |  ",,,South Industrial area,Erbil,Iraq,7507037928,66-2560949, info@npbsco.com,,,,,,,,,,,First National Company,2015,7507037928,66-2560949,www.npbsco.com, info@npbsco.com,143,,,
Fouth 4th Dimension company For general constracts,"
 | Contracting |  ",,,Baghdad,Baghdad,Iraq,7804223579,,fourthdimantion4@yahoo.com,,,,,,,,,,,Fouth 4th Dimension company For general constracts,2015,7804223579,,,fourthdimantion4@yahoo.com,113,,,
Fatin Co,"
 | Contracting |  ",,,Salim St,Sulaymaniyah,Iraq, 7701534598,7503875151,  53-3193773,fatincompany@yahoo.com,,,,,,,,,,Fatin Co,2015, 7701534598,  53-3193773,,fatincompany@yahoo.com,148,,,
FMC Bureau ,"
 | Contracting |  ",,,Iraq,Erbil,Iraq,7707801415,,irqmah@yahoo.com,,,,,,,,,,,FMC Bureau ,2015,7707801415,,,irqmah@yahoo.com,120,,,
Fra Ferest Co,"
 | Contracting |  ",,, 100th m St ,Erbil,Iraq,7504751857,7504442967,7504456914,,hamid.deliri@yahoo.com,,,,,,,,,Fra Ferest Co,2015,7504751857,,www.farferest.com,hamid.deliri@yahoo.com,131,,,
Galala Co,"
 | Contracting |  ",,,Baghdad Nasier Sq Erbil100m St,Baghdad,Iraq, 7901460617,7504452710,7707802272, 1-8866300,66-4556060, galalagroup@yahoo.com ,info@ashticity.com,contracting@galalagroup.com,,,,,,Galala Co,2015, 7901460617, 1-8866300,"""www.galalagroup.com- www.ashticity.com """, galalagroup@yahoo.com ,114,,,
Galiawa Group,"
 | Contracting |  ",,, ShoreshShaqlawa Road,Erbil,Iraq,7504456418,7504463950,7504455432,66-2542216,info@galiwa.com,,,,,,,,,Galiawa Group,2015,7504456418,66-2542216,www.galiwa.com,info@galiwa.com,137,,,
GCC Services,"
 | Contracting |  ",,,Iraq,Baghdad,Iraq,7809137571 ,7713154392,,,,,,,,,,,,GCC Services,2015,7809137571 ,,www.gccservices.com,,114,,,
German Construction,"
 | Contracting |  ",,,Ankawa,Erbil,Iraq,7507173038 ,7504615504,66-4515504,kbw_kurdistan@yahoo.com,,,,,,,,,,German Construction,2015,7507173038 ,66-4515504,,kbw_kurdistan@yahoo.com,174,,,
GhaniHameed Co,"
 | Contracting |  ",,, Maghmur St,Erbil,Iraq,7504478228,, eng.chalabi@yahoo.com,,,,,,,,,,,GhaniHameed Co,2015,7504478228,,, eng.chalabi@yahoo.com,127,,,
Giant Alpha Engineering Co,"
 | Contracting |  ",,,60m St,Erbil,Iraq,7504656338,,alpha.giant@yahoo.com,,,,,,,,,,,Giant Alpha Engineering Co,2015,7504656338,,,alpha.giant@yahoo.com,134,,,
Gilly Group,"
 | Contracting |  ",,,Gulan St,Erbil,Iraq, 7507068878,7701221818,, aramg@gillygroup.com,,,,,,,,,,Gilly Group,2015, 7507068878,,www.gillygroup.com, aramg@gillygroup.com,131,,,
Giti Pasand Co,"
 | Contracting |  ",,,Malik Mahmood St ,Sulaymaniyah,Iraq,7701398838,  53-3191296,wnk06@gitipasand.com ,gitipasand2007@gmail.com,,,,,,,,,,Giti Pasand Co,2015,7701398838,  53-3191296,,wnk06@gitipasand.com ,135,,,
Global Strategic Partners,"
 | Contracting |  ",,,Baghdad,Baghdad,Iraq,7702611422,, alnoaimym@gsp.us.com,,,,,,,,,,,Global Strategic Partners,2015,7702611422,,www.gsp.us.com, alnoaimym@gsp.us.com,112,,,
Golden Mountains Company,"
 | Contracting |  ",,,100m StFacing Italian City,Erbil,Iraq,7503028317,,halgord@goldennmountains.net,,,,,,,,,,,Golden Mountains Company,2015,7503028317,,www.goldennmountains.net,halgord@goldennmountains.net,131,,,
Green PCBTronics Co ,"
 | Contracting |  ",,,Al Bab Alsharqibldg,Baghdad,Iraq,7901315974, 1-8180043,  info@greenpcbtronics.com,,,,,,,,,,,Green PCBTronics Co ,2015,7901315974, 1-8180043,www.greenpcbtronics.com,  info@greenpcbtronics.com,116,,,
Green Land Company,"
 | Contracting |  ",,,Italian VillageVilla No 621,Erbil,Iraq,7504456485,7504561807,66-2550295,Greenland.compnay@yahoo.com,,,,,,,,,,Green Land Company,2015,7504456485,66-2550295,www.greenland.com,Greenland.compnay@yahoo.com,132,,,
Guardia Systems SAL,"
 | Contracting |  ",,,Italian City Villa 125,Erbil,Iraq,7507080333,, info@guardiasystems.com,,,,,,,,,,,Guardia Systems SAL,2015,7507080333,,www.guardiasystems.com, info@guardiasystems.com,127,,,
Gulf Banks Group,"
 | Contracting |  ",,,AlMansour,Baghdad,Iraq, 7901784954,7819088749,,,,,,,,,,,,Gulf Banks Group,2015, 7901784954,,,,106,,,
Gulf Insulating Material Co,"
 | Contracting |  ",,,BaghdadAlDawdiIndustrial Area  BasraAshtar,Baghdad,Iraq, 7901917992,7901376946,7901105469,, isofoam_2005@yahoo.com,,,,,,,,,Gulf Insulating Material Co,2015, 7901917992,,, isofoam_2005@yahoo.com,121,,,
Gulf Reservoir Modeling Tech ,"
 | Contracting |  ",,,AlJazaar,Baghdad,Iraq,7706692661,, nora@resmodtec.com,,,,,,,,,,,Gulf Reservoir Modeling Tech ,2015,7706692661,,, nora@resmodtec.com,108,,,
HabibAlKhoury Co,"
 | Contracting |  ",,,100m Street Facing Two Side Ainkawa ,Erbil,Iraq,7504458520 ,7901907887,7901461020,, info@hgkhoury.com,,,,,,,,,HabibAlKhoury Co,2015,7504458520 ,,www.hgkhoury.com, info@hgkhoury.com,134,,,
Haddadinco Company,"
 | Contracting |  ",,,Iraq,Erbil,Iraq,7714446259,,amro@haddadinco.com,,,,,,,,,,,Haddadinco Company,2015,7714446259,,www.haddadinco.com,amro@haddadinco.com,137,,,
Hadhart Mabaen Alnahreen,"
 | Contracting |  ",,,Hay Alaskari,Najaf,Iraq,7801274476,,,,,,,,,,,,,Hadhart Mabaen Alnahreen,2015,7801274476,,,,101,,,
Haj M Hafara Company,"
 | Contracting |  ",,,60th m St,Erbil,Iraq,7504603908,7504462900,7504453165,, hmh_co@yahoo.com,,,,,,,,,Haj M Hafara Company,2015,7504603908,,www.shazrwan.com, hmh_co@yahoo.com,127,,,
Halabja Contracting Co,"
 | Contracting |  ",,,Malik Mahmoud St,Sulaymaniyah,Iraq, 53-3310147,53-3310148,info@halabjagroup.com,,,,,,,,,,,Halabja Contracting Co,2015,, 53-3310147,www.halabjagroup.com,info@halabjagroup.com,141,,,
Handren Co,"
 | Contracting |  ",,, Car Showw City,Duhok,Iraq,62-4460622 , 62-4577212,62-7618015,handren_co@hotmail.com,rekar9@hotmail.com ,,,,,,,,,Handren Co,2015,,62-4460622 ,www.handren-co.com,handren_co@hotmail.com,127,,,
Halan Company,"
 | Contracting |  ",,, 60th m StNear Bebelos Bank,Erbil,Iraq,7504496724,7504496723,7704496723,,Halancomp@yahoo.com,,,,,,,,,Halan Company,2015,7504496724,,www.halan-company.com,Halancomp@yahoo.com,130,,,
Hannover Co,"
 | Contracting |  ",,,AlRabeea,Baghdad,Iraq,7903383106 ,7702842829,,,,,,,,,,,,Hannover Co,2015,7903383106 ,,,,110,,,
Hardam For General Contracting,"
 | Contracting |  ",,, Kirkuk St,Erbil,Iraq,7706500438 ,7501331567,,aso.a@hardam-co.com,,,,,,,,,,Hardam For General Contracting,2015,7706500438 ,,www.hardam-co.com,aso.a@hardam-co.com,138,,,
HarshemCo,"
 | Contracting |  ",,,Ahsa StOpp To Shekh Mestafa Sq,Erbil,Iraq,7504450764 ,7701497118,7704450764,66- 2224265 ,66-2514389,info@harshem.com,,,,,,,,HarshemCo,2015,7504450764 ,66- 2224265 ,www.harshem.com,info@harshem.com,131,,,
HasanFrary,"
 | Contracting |  ",,,Mansour14 Ramadhan,Baghdad,Iraq, 7813263446,7813263447,7708077629,, frary_stoon@yahoo.com,,,,,,,,,HasanFrary,2015, 7813263446,,, frary_stoon@yahoo.com,127,,,
Hersh Co,"
 | Contracting |  ",,,Sulamanya,Sulaymaniyah,Iraq,7701315026,7707776444,, hershcompany@yahoo.com,,,,,,,,,,Hersh Co,2015,7701315026,,, hershcompany@yahoo.com,130,,,
Hewa Company For Contracting,"
 | Contracting |  ",,,60m St,Erbil,Iraq,7504575571, 66-2222660,66-2229404,hussain.sanan@hewa.com,,,,,,,,,,Hewa Company For Contracting,2015,7504575571, 66-2222660,www.hewa.com,hussain.sanan@hewa.com,129,,,
Hawler Kaywan Company,"
 | Contracting |  ",,, Brayaty40th m StNear KOK Super Market,Erbil,Iraq,7504497023,7504913420,,Kaaywn.company@yahoo.com,,,,,,,,,,Hawler Kaywan Company,2015,7504497023,,www.kaywan.com,Kaaywn.company@yahoo.com,127,,,
Heaven Company,"
 | Contracting |  ",,,Hay Alaed,Erbil,Iraq,7504485003,,omerbarzngy@yahoo.com,,,,,,,,,,,Heaven Company,2015,7504485003,,,omerbarzngy@yahoo.com,124,,,
Hidhab Al Diwaniyah Co,"
 | Contracting |  ",,,Rabee St,Baghdad,Iraq, 7902631210,7801650722,1-5215757, salihaldiwania@yahoo.com,Hidhab_aldiwania@yahoo.com,,,,,,,,,Hidhab Al Diwaniyah Co,2015, 7902631210,1-5215757,, salihaldiwania@yahoo.com,113,,,
Hirad,"
 | Contracting |  ",,,Ankawa,Erbil,Iraq, 7503037998,, amani@hiradgroup.com,,,,,,,,,,,Hirad,2015, 7503037998,,www.hiradgroup.com, amani@hiradgroup.com,119,,,
Hozan Company for General Contracting Co LTD,"
 | Contracting |  ",,,Baghdad,Baghdad,Iraq,7901910339,, info@hozancompany.com,,,,,,,,,,,Hozan Company for General Contracting Co LTD,2015,7901910339,,, info@hozancompany.com,114,,,
HL Group Leighton Middle East,"
 | Contracting |  ",,,Iraq,Baghdad,Iraq,7817191596,,mohammad.almoula@hlgroup.com,,,,,,,,,,,HL Group Leighton Middle East,2015,7817191596,,,mohammad.almoula@hlgroup.com,112,,,
Hoz Company,"
 | Contracting |  ",,,AzadiHawler Stadium St,Erbil,Iraq,7701541221 ,7504685010,,hoz_company@yahoo.com,,,,,,,,,,Hoz Company,2015,7701541221 ,,,hoz_company@yahoo.com,125,,,
Harco Co,"
 | Contracting |  ",,,Ankawa Bahrka St,Erbil,Iraq,7503717070,66-2586034,Lebanese.village@harcoiraq.com,,,,,,,,,,,Harco Co,2015,7503717070,66-2586034,,Lebanese.village@harcoiraq.com,120,,,
Hindasat Alebdaa Co,"
 | Contracting |  ",,,AlWatani St,Basra,Iraq,7702225566,40-614790,farisebadi@yahoo.com,,,,,,,,,,,Hindasat Alebdaa Co,2015,7702225566,40-614790,,farisebadi@yahoo.com,124,,,
IccbIraqi Consultants  Construction Bureau,"
 | Contracting |  ",,,Erbil,Erbil,Iraq,7504885093,7706504371,, omar.mohammed@iccb.com,,,,,,,,,,IccbIraqi Consultants  Construction Bureau,2015,7504885093,,, omar.mohammed@iccb.com,170,,,
Iemar Al Khalij Co,"
 | Contracting |  ",,,Al Senna St,Baghdad,Iraq, 7801189400,7700761111,, info.rowe@khalijsh.com,,,,,,,,,,Iemar Al Khalij Co,2015, 7801189400,,www.khalijsh.com, info.rowe@khalijsh.com,114,,,
Iman Co For Construction and General Trading,"
 | Contracting |  ",,,Makhmoor Road,Erbil,Iraq,7504450988,7701000122, 66-2220667,iman_firma@yahoo.com,nabilsheakel@yahoo.com,,,,,,,,,Iman Co For Construction and General Trading,2015,7504450988, 66-2220667,www.imancompany.com,iman_firma@yahoo.com,176,,,
Insight Co,"
 | Contracting |  ",,, Chwarbakh Building,Sulaymaniyah,Iraq,7701514050, 53-3260099, snoor@insight-iq.com,,,,,,,,,,,Insight Co,2015,7701514050, 53-3260099,www.insight-iq.com, snoor@insight-iq.com,137,,,
International Engineering,"
 | Contracting |  ",,,Manssor St,Baghdad,Iraq,7903583857,,jamal_maklif@yahoo.com,Inter_engco@yahoo.com,,,,,,,,,,International Engineering,2015,7903583857,,,jamal_maklif@yahoo.com,115,,,
Iqbal for general contracts ltd,"
 | Contracting |  ",,,Baghdad,Baghdad,Iraq,7901309422,,najafkerbala@yahoo.com   ,,,,,,,,,,,Iqbal for general contracts ltd,2015,7901309422,,,najafkerbala@yahoo.com   ,112,,,
International Group for Constructions,"
 | Contracting |  ",,,karada St,Baghdad,Iraq,7702757318,, af.coordinator@igcgroup.net,,,,,,,,,,,International Group for Constructions,2015,7702757318,,www.igcgroup.net, af.coordinator@igcgroup.net,145,,,
Iran Steel Plants Group,"
 | Contracting |  ",,,Iraq,Baghdad,Iraq,7800469611,,hsitec@yahoo.fr,,,,,,,,,,,Iran Steel Plants Group,2015,7800469611,,www.ispgroup.ir,hsitec@yahoo.fr,163,,,
Iraqcan Co,"
 | Contracting |  ",,,Iraq,Baghdad,Iraq,7804379380 ,7714336910,,commercial@iraqcan.com ,muhanad.fathil@yahoo.com,,,,,,,,,Iraqcan Co,2015,7804379380 ,,,commercial@iraqcan.com ,113,,,
Iraqi Elite Co,"
 | Contracting |  ",,,Baghdad,Baghdad,Iraq,7801952322,1-7748839,uday@iraqielite.com,,,,,,,,,,,Iraqi Elite Co,2015,7801952322,1-7748839,www. iraqielite.com,uday@iraqielite.com,118,,,
Iraqi Group Co,"
 | Contracting |  ",,,MansourAmeraat,Baghdad,Iraq,7705876798,, alinasir@iraqigroupco.com,,,,,,,,,,,Iraqi Group Co,2015,7705876798,,, alinasir@iraqigroupco.com,121,,,
Iraqi Prefaab Houses Co LLC,"
 | Contracting |  ",,,BasraBaghdad,Baghdad,Iraq,7801032538,7707383611,7801016952,7902428066,, gulfflowerco@yahoo.com,ammarabada1978@yahoo.com,Jmsbaghdad@yahoo.com,,,,,,Iraqi Prefaab Houses Co LLC,2015,7801032538,,www.iraqiprefab.net, gulfflowerco@yahoo.com,111,,,
Isiklar Company For Contracting,"
 | Contracting |  ",,,100m St,Erbil,Iraq, 7507908898,7504164198,,info@md-insaat.com,,,,,,,,,,Isiklar Company For Contracting,2015, 7507908898,,www.isiklar.com.tr,info@md-insaat.com,130,,,
Isin Daylight Company For Contracting,"
 | Contracting |  ",,,KirkukBaghdad Road,Kirkuk,Iraq,7701318383,,Iraq@isinaydinlamtma.com.tr,Iraq@daylight.com.tr,,,,,,,,,,Isin Daylight Company For Contracting,2015,7701318383,,www.isinaydinlamtma.com.tr,Iraq@isinaydinlamtma.com.tr,115,,,
IRCCO,"
 | Contracting |  ",,,Iraq,Baghdad,Iraq,7705599935,7800228822,,jannat@irccoiraq.com,sales@irccoiraq.com,,,,,,,,,IRCCO,2015,7705599935,,www.jannatahussain.com,jannat@irccoiraq.com,136,,,
Istra Alpe Investment,"
 | Contracting |  ",,, Taran St,Erbil,Iraq,7504167501,, istra.alpe.inv@gmail.com,,,,,,,,,,,Istra Alpe Investment,2015,7504167501,,, istra.alpe.inv@gmail.com,123,,,
Ivonco ,"
 | Contracting |  ",,,Erbil,Erbil,Iraq,7507876756,7701611970,, ivonco2010@yahoo.com,,,,,,,,,,Ivonco ,2015,7507876756,,, ivonco2010@yahoo.com,121,,,
JaaraAlbaida Co,"
 | Contracting |  ",,,Baghdad,Baghdad,Iraq,7701203830,,  info@jaaralbaida.com,,,,,,,,,,,JaaraAlbaida Co,2015,7701203830,,www.jaaralbaida.com,  info@jaaralbaida.com,109,,,
Janat Al Belad Co,"
 | Contracting |  ",,,Palestine StNear Almustainsriya University,Baghdad,Iraq, 7901103031,7809110827,7809110830,, jannt_albelad@yahoo.com,,,,,,,,,Janat Al Belad Co,2015, 7901103031,,www.janatalbelad.com, jannt_albelad@yahoo.com,111,,,
Janat AlAbrar Co,"
 | Contracting |  ",,,Mosul,Mosul,Iraq,7701601259,,ghanim58@yahoo.com,,,,,,,,,,,Janat AlAbrar Co,2015,7701601259,,,ghanim58@yahoo.com,114,,,
Jewel Alghari,"
 | Contracting |  ",,, Hay Alameer,Najaf,Iraq,7801180887,,,,,,,,,,,,,Jewel Alghari,2015,7801180887,,,,100,,,
Jewel Alyaqut,"
 | Contracting |  ",,,Hay Alameer,Najaf,Iraq,33-341543,,,,,,,,,,,,,Jewel Alyaqut,2015,,33-341543,,,113,,,
Jotun Iraq,"
 | Contracting |  ",,,Alsadi St,Basra,Iraq, 7709047722,7801008511,,jotun.Iraq@yahoo.com,,,,,,,,,,Jotun Iraq,2015, 7709047722,,,jotun.Iraq@yahoo.com,125,,,
Jurmat Co,"
 | Contracting |  ",,,Iraq,Baghdad,Iraq,7809177090,7705633023,,immad@jurmatgroup.com,,,,,,,,,,Jurmat Co,2015,7809177090,,www.jurmatgroup.com,immad@jurmatgroup.com,115,,,
KH Witte Lastcup,"
 | Contracting |  ",,,Baghdad,Baghdad,Iraq,7507342567,, hollah@email.de,,,,,,,,,,,KH Witte Lastcup,2015,7507342567,,www.witte-lastrup.de, hollah@email.de,110,,,
Dar Aljzaer Trading Co,"
 | General Trading |  ",,,Karradad St,Baghdad,Iraq,7901787706,7707961318,7704427459,,sales_marketing@daraljazaer.ankedo.net,,,,,,,,,Dar Aljzaer Trading Co,2015,7901787706,,www.ankedo.net,sales_marketing@daraljazaer.ankedo.net,122,,,
Dar AlHuda,"
 | General Trading |  ",,,Hay Ishtraki,Najaf,Iraq,7801269067,,,,,,,,,,,,,Dar AlHuda,2015,7801269067,,,,108,,,
Dar Almeezan Company,"
 | General Trading |  ",,,Karada62 St,Baghdad,Iraq,7901908682,7809141913,7707217988,,info@almeezan-iq.com,,,,,,,,,Dar Almeezan Company,2015,7901908682,,www.almeezan-iq.com,info@almeezan-iq.com,115,,,
Dar AlYousr co,"
 | General Trading |  ",,,iraq,Baghdad,Iraq,7702547654,7901829215,,lewaa6072@yahoo.com,rmj20052000@yahoo.com,,,,,,,,,Dar AlYousr co,2015,7702547654,,,lewaa6072@yahoo.com,111,,,
Dar ElGhad Co,"
 | General Trading |  ",,,Aljadriyah,Baghdad,Iraq,7902674663,,nazar_habbaba@yahoo.com,,,,,,,,,,,Dar ElGhad Co,2015,7902674663,,www.darelghad.com-www.bahranigroup.com,nazar_habbaba@yahoo.com,109,,,
Dark,"
 | General Trading |  ",,,Hay AlSalam,Najaf,Iraq,7801262890,,,,,,,,,,,,,Dark,2015,7801262890,,,,114,,,
DARCO,"
 | General Trading |  ",,,Sulamanya,Sulaymaniyah,Iraq,7702175555,,kghareeb@hotmail.com,,,,,,,,,,,DARCO,2015,7702175555,,www.darcowood.com,kghareeb@hotmail.com,143,,,
Darne Dareq Co,"
 | General Trading |  ",,,Baghdad,Baghdad,Iraq,7708877188,, fareed@darnedarec.com,,,,,,,,,,,Darne Dareq Co,2015,7708877188,,www.darnedarec.com, fareed@darnedarec.com,108,,,
Daro Company,"
 | General Trading |  ",,,KRO St,Duhok,Iraq,7504457726,7504551251,7504739707,,daro_company@yahoo.com,,,,,,,,,Daro Company,2015,7504457726,,,daro_company@yahoo.com,125,,,
